#Table1,,,,,,,,
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.1315373,3.79E-05,18.83057,0.01245913,0.1313563,17.77068,0.007975727,0.09087165
GALAXY,0.1140197,4.72E-05,19.13525,0.01567273,0.59245,17.88797,0.008822968,0.4098541
GALAXY,0.02281621,8.24E-06,16.1008,0.003518925,0.1316897,15.40559,0.003031728,0.09110232
GALAXY,0.329748,9.04E-05,20.67795,0.09437336,0.07698683,18.98069,0.03304217,0.05325913
GALAXY,0.2071438,5.78E-05,20.19111,0.04567339,0.2618266,19.18479,0.03130899,0.1811304
GALAXY,0.1532894,2.49E-05,18.48195,0.009906239,0.1144449,17.29304,0.00613641,0.07917244
GALAXY,0.4903149,0.000208504,21.56364,0.1157074,0.08236467,20.0613,0.04744456,0.0569795
GALAXY,0.1672263,1.15E-05,18.34456,0.008964113,0.06943159,17.48448,0.006840867,0.04803245
GALAXY,0.1568742,1.87E-05,18.66923,0.0158831,0.198075,17.75037,0.01016034,0.1370273
GALAXY,0.06611691,1.91E-05,16.19169,0.003360425,0.0920935,15.25099,0.002748044,0.06370986
GALAXY,0.2092406,3.13E-05,19.2943,0.0191321,0.1109327,17.93555,0.009559725,0.07674272
GALAXY,0.1903165,3.86E-05,19.01115,0.01840474,0.2824087,17.6607,0.009074866,0.195369
QSO,2.444886,0.000391706,20.05213,0.01939359,0.1122411,19.8539,0.02185109,0.07764784
GALAXY,0.04240873,6.56E-06,17.3704,0.004693899,0.1813871,16.83683,0.004169076,0.1254828
QSO,1.973227,0.00044529,19.97505,0.01761736,0.07645361,19.8753,0.02333811,0.05289026
GALAXY,0.6841236,0.000327434,24.56573,0.7979264,0.05745482,21.70907,0.1400653,0.03974698
GALAXY,0.4828755,0.000100018,22.71725,0.2769569,0.2116998,20.77267,0.06488531,0.1464529
GALAXY,0.07078915,2.05E-05,18.25571,0.008006808,0.146348,17.48124,0.006529418,0.1012429
GALAXY,0.3392106,8.31E-05,21.24733,0.08486527,0.1533669,19.42498,0.02628067,0.1060985
GALAXY,0.3741848,7.78E-05,21.51279,0.08337618,0.1172345,19.87019,0.03150848,0.08110226
GALAXY,0.6374857,0.000189277,22.91073,0.2531608,0.07730493,21.03914,0.07998446,0.05347919
GALAXY,0.3729953,7.83E-05,21.06797,0.06039913,0.1046832,19.22708,0.01735774,0.07241934
QSO,2.28098,0.001287346,21.93985,0.07952504,0.09938964,21.76475,0.1042155,0.06875729
GALAXY,0.4899674,0.00013674,21.65136,0.1069221,0.05471246,20.16993,0.03990631,0.03784982
QSO,3.130508,0.000295032,21.81286,0.06587438,0.0774378,21.60495,0.08080487,0.05357111
GALAXY,0.4146507,9.10E-05,20.92546,0.05693913,0.04856809,18.97969,0.01589249,0.03359918
GALAXY,0.7449893,0.00017923,23.11409,0.3385326,0.08483515,21.2122,0.1023345,0.05868857
QSO,2.587242,0.000257754,20.41835,0.02139989,0.185812,20.28,0.02577009,0.1285439
QSO,0.8604779,0.000351864,20.96556,0.03102393,0.1690123,20.65736,0.03131492,0.116922
GALAXY,0.1280656,2.51E-05,18.29767,0.008464618,0.1558571,17.23425,0.005348882,0.1078212
GALAXY,0.3232163,8.97E-05,20.24418,0.03286111,0.05652712,18.568,0.01276706,0.0391052
GALAXY,0.03677864,1.72E-05,15.47554,0.00291838,0.1543824,14.8587,0.002563658,0.106801
GALAXY,0.5949044,0.000137559,22.29983,0.1419427,0.1963942,20.64659,0.05002991,0.1358646
GALAXY,0.4135615,9.30E-05,21.20276,0.06892604,0.1066178,19.44508,0.02344673,0.07375769
GALAXY,0.3734843,6.60E-05,21.59681,0.09628357,0.1468291,19.60592,0.02486181,0.1015757
GALAXY,0.4373773,0.000101778,20.54455,0.04649086,0.1352046,18.85212,0.01698305,0.09353393
GALAXY,0.3321948,6.80E-05,20.44106,0.0432041,0.07312414,18.77507,0.01608222,0.05058694
GALAXY,0.10208,6.11E-06,17.56938,0.007312779,0.1029361,16.85125,0.004896764,0.0712107
GALAXY,0.09555814,1.53E-05,18.48445,0.009047506,0.1757189,17.70251,0.007220893,0.1215615
GALAXY,0.4162262,7.57E-05,21.04095,0.07123298,0.06402887,19.29668,0.02299993,0.04429487
GALAXY,0.4574125,0.000126205,22.21943,0.1148264,0.09269284,20.64105,0.04154878,0.06412447
GALAXY,0.4474418,9.24E-05,22.42255,0.1462181,0.09983364,20.78726,0.04893761,0.06906445
GALAXY,0.4766557,0.000137009,22.15105,0.15802,0.0385684,20.46864,0.05091435,0.02668144
GALAXY,0.4798934,0.000124611,21.86911,0.16016,0.08574703,20.11447,0.05035083,0.0593194
GALAXY,0.297446,4.58E-05,20.09958,0.04284504,0.1372434,18.47396,0.0166655,0.09494437
GALAXY,0.4293906,7.66E-05,21.42752,0.0839771,0.1036284,19.62475,0.02994561,0.07168966
GALAXY,0.5788907,0.000222636,21.71541,0.1410536,0.04554651,20.34375,0.06606175,0.03150886
GALAXY,0.6192879,0.000205182,23.00311,0.6008105,0.07995595,20.20995,0.07541481,0.05531316
GALAXY,0.4811825,0.000206717,21.91356,0.144623,0.02140369,20.32503,0.05236222,0.01480698
