#Table1,,,,,,,,
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.14006,2.23E-05,18.25729,0.00856763,0.07460839,17.24254,0.005930896,0.05161374
GALAXY,0.4874019,0.000107909,21.42193,0.08825643,0.04808766,19.79878,0.03322493,0.03326682
GALAXY,0.2953316,3.61E-05,21.62179,0.06813237,0.03407642,20.8602,0.0500043,0.02357391
GALAXY,0.3888742,7.48E-05,21.26333,0.07692136,0.03898591,19.32771,0.02266348,0.02697027
GALAXY,0.9273201,0.000273788,23.70524,0.4065192,0.05999071,22.01413,0.1464132,0.0415013
GALAXY,0.4098649,6.95E-05,21.14174,0.06075998,0.05421721,19.34742,0.0203062,0.03750721
QSO,1.259601,0.000476839,19.35317,0.0116705,0.06145568,18.94715,0.01065861,0.04251475
GALAXY,0.3474171,8.59E-05,20.74875,0.06393122,0.04510856,19.01734,0.02041758,0.03120589
GALAXY,0.2008955,5.44E-05,19.03,0.01691169,0.1165924,17.69914,0.009963513,0.08065811
GALAXY,0.1265158,3.65E-05,18.38997,0.009784688,0.1467256,17.25725,0.006281713,0.1015041
GALAXY,0.08026499,7.64E-06,18.28215,0.007634541,0.1145231,17.59002,0.006780893,0.07922655
GALAXY,0.07905693,3.21E-05,18.14747,0.00884489,0.1111038,17.12827,0.006489226,0.07686111
GALAXY,0.641261,0.00022281,22.5691,0.243992,0.09653182,20.96234,0.09211883,0.06678026
QSO,2.256117,-1,21.20885,0.04843958,0.09904088,20.86677,0.05252036,0.06851602
GALAXY,0.1375598,7.65E-06,18.13293,0.008740962,0.09451564,17.5772,0.008277639,0.06538548
GALAXY,0.2652813,5.72E-05,19.6945,0.04265866,0.08983772,18.20338,0.01319401,0.06214932
GALAXY,0.5043899,0.000207373,22.86662,0.2289741,0.1531993,20.9696,0.06210652,0.1059826
QSO,1.347033,0.000583002,21.10681,0.03538789,0.04823807,20.86106,0.0408212,0.03337087
GALAXY,0.8916584,0.000397055,24.28581,0.8303741,0.04189851,22.03083,0.1979742,0.02898519
GALAXY,0.03678539,1.91E-05,17.02971,0.004780215,0.05768169,16.28517,0.004000048,0.03990393
GALAXY,0.01560316,1.13E-05,15.60062,0.003620906,0.04282115,15.0018,0.008891501,0.02962347
GALAXY,0.1117819,4.14E-05,18.63421,0.01209602,0.04488927,17.72703,0.009136718,0.03105419
GALAXY,0.1175109,1.12E-05,17.79975,0.006975204,0.05684356,17.05498,0.005415848,0.03932411
GALAXY,0.5389232,0.000111515,21.04054,0.06644502,0.04469498,19.69476,0.0315068,0.03091978
GALAXY,0.08533194,1.66E-05,18.1116,0.009133415,0.05616397,17.19236,0.006545347,0.03885398
QSO,3.479957,0.000258787,21.16855,0.04310745,0.08569461,20.19123,0.02393626,0.05928314
GALAXY,0.2804493,5.65E-05,19.5349,0.02636984,0.0712831,18.08086,0.01153368,0.04931332
GALAXY,0.6093583,0.000182769,22.49341,0.213994,0.04492497,20.70477,0.06510913,0.03107888
