#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.2258431,3.19748E-05,19.07667,0.01739059,0.02442089,17.67068,0.008722459,0.01689426
GALAXY,0.1364412,2.885361E-05,18.16617,0.008260118,0.05772024,17.12852,0.005485684,0.0399306
GALAXY,0.1399008,3.207953E-05,19.63709,0.0177531,0.03591242,18.56894,0.01122219,0.02484405
GALAXY,0.03690409,1.008545E-05,15.9934,0.003365206,0.05901862,15.53831,0.003202569,0.04082881
GALAXY,0.4931742,0.0001135108,21.99707,0.1238544,0.03668402,20.15596,0.03672962,0.02537783
GALAXY,0.6848485,0.0002092987,23.83145,0.6806672,0.03443139,21.03066,0.09332026,0.02381948
QSO,2.323092,0.0006290507,21.59204,0.05052556,0.06099448,21.66124,0.07295965,0.0421957
QSO,0.950552,0.0009680882,20.73568,0.0278172,0.04407515,20.51592,0.0321641,0.03049098
GALAXY,0.5313277,0.0001219767,22.55209,0.1576135,0.1526675,21.01654,0.06538033,0.1056147
GALAXY,0.09638157,5.779886E-06,18.42343,0.009441856,0.6122755,17.88622,0.008344662,0.4235694
GALAXY,0.5867379,0.0002124349,22.52643,0.307662,0.3934095,20.40913,0.07121012,0.2721588
GALAXY,0.6091243,0.0002083188,23.10521,0.3093969,0.376945,21.33062,0.09280404,0.2607688
GALAXY,0.3328722,0.0001141486,20.82445,0.07706651,0.2323314,18.98466,0.02258351,0.1607258
GALAXY,0.07680401,1.452776E-05,17.01507,0.005453334,0.1131602,16.10458,0.003909225,0.07828367
GALAXY,0.5702744,0.0001069069,22.41407,0.1471873,0.1545675,20.99646,0.05594878,0.1069291
GALAXY,0.3573153,2.11049E-05,19.91382,0.03663596,0.06459244,19.03067,0.02530906,0.04468475
GALAXY,0.3566459,3.499626E-05,20.5935,0.04646788,0.1125659,19.52058,0.03617362,0.0778726
GALAXY,0.3639112,4.053542E-05,21.01955,0.04978633,0.1204321,19.53184,0.02216691,0.08331436
GALAXY,0.3733492,6.913562E-05,21.12859,0.06206512,0.1597172,19.3296,0.02126548,0.1104916
QSO,0.2464841,4.865022E-05,19.41973,0.01320218,0.1407254,19.0148,0.01201571,0.09735318
GALAXY,0.5701888,0.0001990477,23.64729,0.4011224,0.2852079,21.64068,0.1090056,0.1973055
GALAXY,0.5107455,0.000138089,22.70678,0.1778001,0.07020034,20.87551,0.05502294,0.04856427
QSO,1.638391,0.001183797,21.74451,0.0694242,0.03114709,21.82414,0.1266807,0.02154742
GALAXY,0.5228035,0.0001398231,21.47442,0.09066721,0.0532454,19.9655,0.03852297,0.03683492
QSO,0.5207472,3.14159E-05,20.27743,0.03112524,0.09258677,19.34785,0.01956668,0.0640511
GALAXY,0.6325001,0.0001430804,22.32328,0.1447354,0.02519178,20.78234,0.06430005,0.01742756
QSO,1.555148,0.0003098763,20.85665,0.02998137,0.0261865,20.59121,0.03605764,0.0181157
GALAXY,0.06457055,1.547E-05,16.09856,0.003582981,0.04279964,15.3785,0.003095429,0.0296086
GALAXY,0.4827911,0.0001222036,21.36369,0.1297492,0.0597292,19.70799,0.04410518,0.04132038
GALAXY,0.4414847,0.0001518624,21.59906,0.1024423,0.06862047,20.25105,0.03928046,0.04747132
GALAXY,0.4781712,0.0001399679,21.91473,0.1158548,0.04236399,20.2718,0.04643961,0.02930721
GALAXY,0.3633718,0.0001015744,20.71205,0.06374931,0.0484523,18.8364,0.01918514,0.03351908
QSO,0.4339888,5.67831E-05,19.51608,0.01261833,0.03862308,19.50852,0.01546197,0.02671926
GALAXY,0.5289089,0.0001581901,22.11509,0.1709,0.1776938,20.14198,0.0420584,0.1229278
GALAXY,0.2677021,3.811166E-05,19.71566,0.02035542,0.136777,18.22943,0.009201664,0.09462167
QSO,1.039783,0.0005018435,19.33803,0.01069915,0.05168539,19.03114,0.01062493,0.03575572
GALAXY,0.1956326,3.994498E-05,19.19697,0.01407988,0.05843608,17.80829,0.007258188,0.04042581
GALAXY,0.443238,0.0001253953,23.05583,0.2727723,0.04040157,21.28312,0.08524828,0.02794962
GALAXY,0.6107592,0.0002604797,20.94364,0.09466588,0.04295304,19.72222,0.05196889,0.02971471
GALAXY,0.5644603,0.0001394671,21.90499,0.07715005,0.06566554,20.5544,0.03476473,0.04542711
QSO,1.896421,0.0005387723,21.71745,0.07059821,0.09372823,21.78806,0.1111247,0.06484076
GALAXY,0.2505398,5.66833E-05,21.11098,0.0713857,0.1615611,19.97225,0.04240936,0.1117672
GALAXY,0.1566608,2.116761E-05,18.48015,0.008148444,0.1002574,17.52829,0.005722085,0.06935764
QSO,2.095613,0.0006802388,18.88727,0.008380708,0.1083048,18.81826,0.009400662,0.07492477
GALAXY,0.0710241,1.593244E-05,17.61201,0.00631521,0.1366594,16.77473,0.004811739,0.09454037
GALAXY,0.1284524,2.141619E-05,17.61998,0.006450392,0.1591156,16.55729,0.004392827,0.1100754
GALAXY,0.5446854,0.0001447708,21.74969,0.1337679,0.2146029,19.7981,0.03456536,0.1484613
GALAXY,0.4485188,9.63671E-05,21.69034,0.1084465,0.07356095,20.03555,0.03815987,0.05088913
GALAXY,0.03193599,1.21258E-05,14.95759,0.00252013,0.05210521,14.24993,0.002257387,0.03604615
GALAXY,0.710426,0.000155319,23.11287,0.3259622,0.1105114,21.74782,0.1429693,0.07645126
GALAXY,0.7872696,0.000263727,22.86249,0.3010976,0.06032468,21.21357,0.1064273,0.04173234
QSO,0.9938109,7.738365E-05,20.48775,0.0240378,0.05613315,20.25123,0.02603005,0.03883266
GALAXY,0.2629702,9.598634E-05,21.47295,0.06588708,0.08197165,19.96978,0.02854801,0.0567076
GALAXY,0.1011163,7.148513E-06,17.28862,0.005789639,0.06684286,16.87936,0.005676191,0.04624158
GALAXY,0.5233671,0.0001444899,22.97069,0.1731091,0.1155364,22.31687,0.1702466,0.07992757
GALAXY,0.2728327,5.645301E-05,20.7425,0.04690033,0.1614317,19.29441,0.02180596,0.1116777
GALAXY,0.6880998,0.0003075226,24.81314,1.501316,0.1487656,21.66472,0.1908439,0.1029153
GALAXY,0.1296269,2.440478E-05,18.21213,0.01099674,0.1806702,17.15374,0.00692581,0.1249868
QSO,0.3658189,2.823174E-05,19.24438,0.01039115,0.07065623,18.95766,0.01096513,0.04887965
QSO,3.190671,0.0003483855,20.3479,0.01989277,0.03935989,19.99522,0.01971219,0.02722899
GALAXY,0.05252412,8.511547E-06,17.94392,0.009566654,0.0339286,17.32149,0.008615883,0.02347164
GALAXY,0.5664719,0.0001661511,21.61214,0.1084412,0.08738656,20.46949,0.05624771,0.06045362
GALAXY,0.1390318,3.44919E-05,18.33076,0.01038874,0.1527437,17.23355,0.006528604,0.1056674
GALAXY,0.03379207,9.746854E-06,16.26023,0.003505861,0.1018055,15.45475,0.002980979,0.07042856
GALAXY,0.6351333,0.0001348816,21.46672,0.06626974,0.1595926,20.83584,0.06260361,0.1104054
GALAXY,0.2305333,3.791779E-05,19.23223,0.02097884,0.152125,17.80928,0.00982915,0.1052394
GALAXY,0.6892806,0.000171369,23.38042,0.4328337,0.08238205,20.95097,0.08032344,0.05699152
GALAXY,0.5774555,0.0001499272,22.18666,0.2079438,0.1400085,20.34612,0.06260203,0.09685723
QSO,2.221821,0.0006284566,20.82535,0.03236861,0.1076447,20.73633,0.04376692,0.07446811
GALAXY,0.0630792,1.451327E-05,18.48948,0.0136546,0.1652648,17.68938,0.009809788,0.1143294
GALAXY,0.06306025,1.007508E-05,18.07238,0.01283799,0.1380275,17.592,0.01166699,0.09548678
GALAXY,0.1246731,6.916319E-06,18.34696,0.008411391,0.08425186,18.05822,0.008306319,0.05828505
GALAXY,0.02096969,8.41262E-06,18.00706,0.008644305,0.09369032,17.43919,0.007334485,0.06481453
GALAXY,0.05380494,2.587711E-05,18.2324,0.009143461,0.1247085,17.4126,0.00654477,0.08627279
GALAXY,0.3357019,4.99973E-05,20.35934,0.03417351,0.06505337,18.69826,0.01409985,0.04500362
GALAXY,0.08140324,1.93388E-05,17.28369,0.005593895,0.1349263,16.30452,0.004121228,0.09334139
GALAXY,0.4294867,0.0001190651,21.60987,0.1078013,0.0483397,19.91404,0.04251314,0.03344118
GALAXY,0.4986387,0.0002581333,22.70825,0.2127475,0.0964318,20.74834,0.05969611,0.06671107
GALAXY,0.385331,8.521538E-05,21.49232,0.0856356,0.2642826,19.57788,0.02418997,0.1828295
QSO,1.280891,0.0006602038,20.42341,0.02426106,0.3335441,20.11015,0.02244909,0.2307443
QSO,2.406877,0.0004450641,21.19718,0.04641786,0.09034599,21.08669,0.05980995,0.06250094
GALAXY,0.3564209,7.202592E-05,20.80375,0.06025257,0.09840196,19.14847,0.02130779,0.06807402
GALAXY,0.6548622,0.0002264498,22.65732,0.2052344,0.06768614,21.08906,0.08015855,0.04682496
QSO,0.175201,3.603442E-05,17.98163,0.005476157,0.05069683,17.81023,0.005889853,0.03507183
GALAXY,0.3536421,7.713536E-05,21.15319,0.06324234,0.1653995,19.33001,0.01976894,0.1144226
GALAXY,0.3684139,8.11406E-05,21.43908,0.07366525,0.08951135,19.54068,0.01999637,0.06192354
GALAXY,0.7172652,0.0002294975,22.40367,0.2478328,0.1070014,20.81556,0.09123928,0.0740231
GALAXY,0.06929249,8.916461E-06,18.03428,0.005870031,0.04004005,17.77752,0.005990507,0.02769952
QSO,1.234362,0.00058976,21.00375,0.03538731,0.05885293,20.65732,0.03838827,0.04071418
GALAXY,0.6847502,0.0003346849,23.84672,0.5965553,0.09469709,21.50658,0.1177155,0.06551101
GALAXY,0.6401949,0.0001836411,22.4434,0.2712342,0.04936893,20.64464,0.08266138,0.0341532
QSO,1.852272,0.0009288547,21.45388,0.05228986,0.1751051,21.20824,0.06589676,0.1211369
QSO,2.29828,0.0001885274,19.74343,0.01689814,0.134982,19.76991,0.02128814,0.09337996
GALAXY,0.02305307,9.00189E-06,20.98686,0.05705478,0.1114608,21.00952,0.08399827,0.07710809
GALAXY,0.5980682,0.0001503955,21.97047,0.09056278,0.06662884,20.52052,0.04003261,0.04609352
GALAXY,0.2156333,3.863631E-05,18.98423,0.01215029,0.0730546,17.57862,0.006488349,0.05053884
QSO,1.408954,0.0003906991,20.98519,0.03522238,0.02709382,20.51982,0.03148331,0.01874338
GALAXY,0.2582366,5.10015E-05,18.42603,0.01182228,0.02750364,17.0212,0.005927605,0.01902689
QSO,2.177494,0.0004435755,21.12957,0.03654131,0.03017617,21.03049,0.0518566,0.02087574
GALAXY,0.4088522,9.72921E-05,20.60083,0.05168388,0.04410651,18.9374,0.01948837,0.03051268
GALAXY,0.5222303,0.0001764759,22.01593,0.09909197,0.03664142,20.70988,0.05476619,0.02534837
GALAXY,0.2537416,3.185533E-05,19.69063,0.02245536,0.05655231,18.28236,0.01068637,0.03912263
